Platform,QDWFOUROH-2814,New Feature,Load ICD9 to HCC Mapping,Major,Deployed,1
Platform,QDWFOUROH-2776,New Feature,Change over Time Procedure,Major,Deployed,3
Platform,QDWFOUROH-2889,Improvement,Add risk score and cost to all reports that don't currently have them,Major,Open,1
Front End,QDWFOUROH-2936,New Feature,Polish filters,Major,Deployed,3
Platform,QDWFOUROH-2994,New Feature,Security Check for Utilization PCP Selection,Major,Open,1
Platform,QDWFOUROH-2769,New Feature,Primary Procedure Hierarchy,Major,Closed,2
Platform,QDWFOUROH-2849,New Feature,Add Functional Primary Location Global Filter,Major,Closed,1
Platform,QDWFOUROH-2996,New Feature,Add Lat/Long filter parameters to utilization detail report,Major,Open,2
Front End,QDWFOUROH-2637,New Feature,Create shell 'Medical Expense Management' dashboard page,Major,Closed,1
Front End,QDWFOUROH-2724,New Feature,Overlay date range slider on primary timeline on MEM Dash,Major,Open,5
Platform,QDWFOUROH-2966,New Feature,HOLD - Load Group Analysis Specialty Mapping,Major,Open,1
Front End,QDWFOUROH-3017,New Feature,User can save Util detail report with selected utilization filter values,Major,Open,0
Platform,QDWFOUROH-2768,New Feature,PCP Facility Hierarchy,Major,In Progress,3
Platform,QDWFOUROH-2717,New Feature,In Network Provider,Major,Closed,2
Front End,QDWFOUROH-2687,New Feature,HOLD Have selected providers / locations move to the top of the list,Major,Open,0
Front End,QDWFOUROH-2949,New Feature,Build cost/variability analyzer visualization,Major,In Progress,5
Front End,QDWFOUROH-2751,New Feature,Hide facility and provider filters on the MEM Dash + detail report,Major,Closed,4
Front End,QDWFOUROH-2893,New Feature,Add date filters into med expense dashboard,Major,Closed,2
Front End,QDWFOUROH-2764,New Feature,Move filters into a pullout pane,Major,Closed,4
Front End,QDWFOUROH-2766,New Feature,Implement accordion-style design for filters,Major,Closed,4
Platform,QDWFOUROH-2965,New Feature,CM Specialty Mapping,Major,Closed,1
Front End,QDWFOUROH-2760,New Feature,Add risk score slider filter,Major,Deployed,3
Front End,QDWFOUROH-2761,New Feature,Add PMPM slider filter,Major,Deployed,3
Front End,QDWFOUROH-2756,New Feature,Add DRG filter,Major,Deployed,2
Front End,QDWFOUROH-2755,New Feature,Add in/out of network filter,Major,Deployed,2
Front End,QDWFOUROH-2743,Task,Move facility hierarchy into Angular,Major,Deployed,5
Platform,QDWFOUROH-2872,Improvement,Add drug intolerance maintenance item to CAD ACE/ARB and CAD LDL Therapy,Major,Closed,1
Platform,QDWFOUROH-2781,New Feature,CM Centralized Filter Logic,Major,Deployed,3
Front End,QDWFOUROH-2802,New Feature,Add utilization detail pane,Major,Review,3
Front End,QDWFOUROH-2757,New Feature,Add primary diagnosis filter,Major,In Progress,2
Platform,QDWFOUROH-2987,Improvement,Add payer 2 column to pat registry,Major,In Progress,2
Platform,QDWFOUROH-2909,Task,Update claims data to be more recent,Major,Review,3
Front End,QDWFOUROH-2899,New Feature,Develop POC for Google Maps heatmap,Major,In Progress,3
Front End,QDWFOUROH-2723,New Feature,Add primary timeline to MEM Dash,Major,Review,4
Front End,QDWFOUROH-2765,New Feature,Add filter 'breadcrumbs',Major,Review,4
Platform,QDWFOUROH-2993,New Feature,Utilization Cost Management Performance Tuning,Major,Open,3
Platform,QDWFOUROH-3035,Improvement,CMR PCHS - Significant Events,Major,Open,
Platform,QDWFOUROH-2928,Improvement,Add Next Appt Date to all reports (where it doesn't already exist),Major,Deployed,3
Platform,QDWFOUROH-2968,New Feature,CM Group Analyzer,Major,In Progress,5
Platform,QDWFOUROH-2825,New Feature,Update PCP Facility Filter to Only Include PCPs,Minor,Closed,1
Front End,QDWFOUROH-2788,Task,Add specs for hierarchy,Minor,Closed,2
Front End,QDWFOUROH-2930,Task,Rename 'all-checkbox-wrapper' to 'checkbox-wrapper',Minor,Open,1
Front End,QDWFOUROH-2934,Task,HOLD - Upgrade to Angular 1.3,Minor,Open,4
Front End,QDWFOUROH-2958,Task,Fix intermittently failing initiative threshold spec,Minor,Open,2
Front End,QDWFOUROH-2959,Task,Fix intermittently failing favorite spec,Minor,Open,2
Front End,QDWFOUROH-2801,New Feature,User can expand a card for closer inspection,Minor,Open,4
Front End,QDWFOUROH-2804,New Feature,HOLD Overlay visualizations on the detail report,Minor,Open,4
Front End,QDWFOUROH-2654,Improvement,Click outside filter to remove dropdown,Minor,Closed,3
Front End,QDWFOUROH-2969,Task,Rename 'Filter' model to 'Attribution',Minor,Open,2
Front End,QDWFOUROH-2931,Task,Add a Jenkins build for 4.4,Minor,Closed,2
,QDWFOUROH-2913,Improvement,Update PCP specialty code category,Minor,Closed,1
Front End,QDWFOUROH-2443,New Feature,Implementation teams can flag columns to be highlighted as important on tabular reports,Minor,Open,4
Front End,QDWFOUROH-2962,New Feature,HOLD Build patient density visualization,Minor,Open,5
Front End,QDWFOUROH-2961,New Feature,Add placeholder card for patient density visualization,Minor,Open,0
Front End,QDWFOUROH-2978,Task,Create parent filter service to centralize filter logic,Minor,Open,3
Platform,QDWFOUROH-2771,New Feature,HOLD - Procedure to get Location Markers,Minor,Open,1
Front End,QDWFOUROH-3002,Task,Fix intermittently failing favorite report w/ aggregate spec,Minor,Open,2
Front End,QDWFOUROH-2754,New Feature,HOLD Update options in service provider filter based on selected specialty,Minor,Open,2
Front End,QDWFOUROH-2800,New Feature,HOLD Add facility markers to geographic analysis pane,Minor,Open,3
Platform,QDWFOUROH-2903,New Feature,HOLD - Slider 90th Percentile,Minor,Closed,2
Front End,QDWFOUROH-2887,Improvement,Change style of global date filter,Minor,In Progress,3
Front End,QDWFOUROH-2898,New Feature,Remove old ED Dashboard,Minor,Closed,2
Front End,QDWFOUROH-3020,New Feature,Add ability to make documentation for some tabular reports PDF format,Minor,Open,0
Front End,QDWFOUROH-2733,New Feature,Rename 'Utilization Dashboard' to 'ED Utilization Dashboard',Minor,Closed,1
Front End,QDWFOUROH-2923,New Feature,"Group providers by PCP, Specialist, Other, and alphabetize list",Minor,Open,
Front End,QDWFOUROH-3022,New Feature,Add documentation to dashboards,Minor,Open,0
Platform,QDWFOUROH-2851,New Feature,Add Payer Type Utilization Grouping,Minor,Closed,2
Platform,QDWFOUROH-2871,Improvement,Functional Demographics should de-prioritize Needs Update values,Minor,Closed,3
Platform,QDWFOUROH-2904,New Feature,Risk Adjust Cost Management Reports,Minor,Deployed,2
Front End,QDWFOUROH-2979,New Feature,Implement log scale function for slider filters,Minor,In Progress,3
Front End,QDWFOUROH-1639,Improvement,change Items to Providers upon pulldown when all providers is checked,Trivial,Closed,1
Platform,QDWFOUROH-2905,New Feature,Add Last Preventive Visit to CommonReportFields,"""Major""",Closed,1
